size,density,edges,dijkstra_time,delta_time,parallel_v1_time,parallel_v2_time,seq_speedup,par_v1_speedup,par_v2_speedup
200,0.005000,199,0.070858,0.352009,0.329900,0.428167,0.201297,1.067017,0.822130
200,0.010000,199,0.068017,0.377742,0.356433,0.503392,0.180061,1.059782,0.750394
200,0.020000,398,0.087792,0.508217,0.336525,0.599492,0.172744,1.510191,0.847746
200,0.050000,995,0.127691,0.670192,0.298491,0.582358,0.190530,2.245263,1.150823
200,0.100000,1990,0.177150,1.015158,0.324200,0.795017,0.174505,3.131272,1.276902
200,0.150000,2985,0.227092,2.391500,0.391700,1.601908,0.094958,6.105441,1.492907
200,0.200000,3980,0.612225,2.191808,0.406858,1.357417,0.279324,5.387152,1.614690
500,0.005000,623,0.190334,0.857025,6.326034,0.997992,0.222087,0.135476,0.858750
500,0.010000,1247,0.249800,1.041500,5.758825,1.021558,0.239846,0.180853,1.019521
500,0.020000,2495,0.330250,1.181117,4.138500,1.063117,0.279608,0.285397,1.110994
500,0.050000,6237,0.522833,2.245100,3.623575,2.000458,0.232877,0.619582,1.122293
500,0.100000,12475,0.726750,4.849567,3.459692,3.746508,0.149859,1.401734,1.294423
500,0.150000,18712,0.791458,6.228683,3.263533,5.057708,0.127067,1.908570,1.231523
500,0.200000,24950,0.903841,8.312633,3.843508,7.241733,0.108731,2.162772,1.147879
1000,0.005000,2497,0.517316,1.535241,10.279984,3.493483,0.336961,0.149343,0.439459
1000,0.010000,4995,0.677583,1.960508,6.235900,5.189525,0.345616,0.314391,0.377782
1000,0.020000,9990,0.965666,3.217817,5.623142,6.271125,0.300100,0.572245,0.513116
1000,0.050000,24975,1.538908,8.087108,5.593242,6.689384,0.190292,1.445871,1.208947
1000,0.100000,49950,1.841100,16.358342,5.052642,6.726392,0.112548,3.237582,2.431964
1000,0.150000,74925,2.167575,25.543942,5.397967,5.393842,0.084857,4.732142,4.735760
1000,0.200000,99900,2.353583,32.327875,5.764042,5.081850,0.072804,5.608543,6.361439
1500,0.005000,5621,0.927158,2.254142,9.223492,6.048042,0.411313,0.244391,0.372706
1500,0.010000,11242,1.300808,3.478092,6.342383,8.776909,0.374001,0.548389,0.396278
1500,0.020000,22485,1.810025,6.949742,7.662833,8.767100,0.260445,0.906942,0.792707
1500,0.050000,56212,2.894042,19.708725,6.682783,8.098616,0.146841,2.949179,2.433592
1500,0.100000,112425,3.303708,37.787301,7.680300,9.078900,0.087429,4.920029,4.162101
1500,0.150000,168637,4.027592,56.241758,8.902908,7.045900,0.071612,6.317234,7.982197
1500,0.200000,224850,4.458050,77.118634,11.973917,8.086484,0.057808,6.440552,9.536733
2000,0.005000,9995,1.446584,3.358609,9.353150,6.003608,0.430709,0.359089,0.559432
2000,0.010000,19990,1.984550,5.791300,7.320908,7.012934,0.342678,0.791063,0.825803
2000,0.020000,39980,2.731975,12.041867,8.975767,9.648192,0.226873,1.341598,1.248096
2000,0.050000,99950,3.849033,32.665983,8.992075,9.370141,0.117830,3.632752,3.486178
2000,0.100000,199900,4.887833,65.195567,11.131675,12.175592,0.074972,5.856761,5.354612
2000,0.150000,299850,5.680775,94.202542,13.916375,10.309750,0.060304,6.769187,9.137228
2000,0.200000,399800,6.335933,116.802608,15.782208,12.670017,0.054245,7.400904,9.218820
